"Fecha","Prediccion"
2018-08-01,578.366955435727
2018-08-02,704.981693747356
2018-08-03,765.820240355378
2018-08-04,182.698201830333
2018-08-05,0
2018-08-06,601.497355989312
2018-08-07,0
2018-08-08,800.39123247592
2018-08-09,867.498988933503
2018-08-10,873.294464019254
2018-08-11,214.918597408128
2018-08-12,0
2018-08-13,639.298879946914
2018-08-14,805.31992459638
2018-08-15,864.111747310255
2018-08-16,911.127009044983
2018-08-17,882.034805986758
2018-08-18,212.598876879069
2018-08-19,0
2018-08-20,0
2018-08-21,704.211732686477
2018-08-22,813.855235994253
2018-08-23,878.151137760705
2018-08-24,951.560275648432
2018-08-25,249.378201849155
2018-08-26,0
2018-08-27,776.169142690568
2018-08-28,1034.4337505538
2018-08-29,1312.416323445
2018-08-30,1622.43507666541
